sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,hostname,label
1.0,2.0,8.050722,,,1.31,,,960.6,0.0,5502.7,0.83,0.877,,,243.935,12.365,10.549,12.0976,K2-168,1
1.0,0.0,12.4292,0.0974,,1.1126,,53.836,,0.0,5414.0,0.814,0.945,-0.028,4.595,279.752,13.053,11.057,12.765,EPIC 205979483,0
1.0,0.0,19.44212,,,22.0,,,,0.0,3864.0,0.35,,,4.91,,,14.22,19.1861,EPIC 205990339,0
1.0,3.0,4.50756,,,1.7,,,,0.0,,,0.928,,,369.888,13.096,11.487,12.9682,EPIC 206024342,1
1.0,3.0,0.911724,,,1.4,,,,0.0,5724.0,1.1,,-0.22,4.5,369.888,13.096,11.487,12.9682,EPIC 206024342,1
1.0,3.0,14.647531,,,2.6,,,,0.0,5724.0,1.1,,-0.22,4.5,369.888,13.096,11.487,12.9682,EPIC 206024342,1
1.0,1.0,2.87814,,,1.01,,,,0.0,,,0.221,,,161.365,17.89,12.538,16.0689,EPIC 206032309,1
1.0,2.0,5.2986,,,1.7,,,,0.0,4114.0,0.5,,0.006,4.8,451.769,16.59,13.071,15.9752,EPIC 206042996,1
1.0,2.0,0.354884,,,1.2,,,,0.0,4114.0,0.5,,0.006,4.8,451.769,16.59,13.071,15.9752,EPIC 206042996,1
1.0,0.0,25.2768,,,25.0,,,,0.0,4215.0,0.52,,,4.758,467.298,17.2309,13.598,16.5857,EPIC 206065006,0
1.0,1.0,2.255436,,,1.0,,,,0.0,3297.0,0.25,,-0.33,4.9,109.888,17.83,12.767,16.1722,EPIC 206215704,1
1.0,0.0,1.35823,,,1.44,,,,0.0,5675.0,0.95,,,4.45,482.442,13.304,11.471,13.0582,EPIC 206267115,0
1.0,2.0,1.58252,,,0.96,,,,0.0,,,0.711,,,314.35,14.005,11.635,13.774,EPIC 206317286,1
1.0,2.0,17.515472,,,2.094,,,,0.0,4752.0,0.758,0.832,0.019,4.596,314.35,14.005,11.635,13.774,EPIC 206317286,1
1.0,0.0,6.3878,,,65.0,,,,0.0,6668.0,1.25,,,4.331,1612.12,15.717,13.872,15.7093,EPIC 207517400,0
1.0,0.0,1.3155918,,,38.3,,,,0.0,,1.69,,,,262.672,10.485,9.109,10.4364,EPIC 210401157,0
1.0,0.0,0.96997227,,,,,,,0.0,5401.0,,,,,474.61,13.092,10.216,12.6854,EPIC 210414957,0
1.0,0.0,1.14907861,,,,,,,0.0,5324.24,1.00567,,-0.652,,260.903,14.204,11.191,13.6704,EPIC 210513446,0
1.0,0.0,25.219709,,,87.0,,,,0.0,,2.29,,,,537.214,13.478,10.548,12.9184,EPIC 210744674,0
1.0,0.0,0.87052967,,,,,,,0.0,6121.0,1.47366,1.16,-0.0666,4.16573,568.754,13.573,10.907,13.1961,EPIC 210754505,0
1.0,0.0,29.12555,,,205.0,,,,0.0,4936.0,3.9,,,3.28,402.788,13.914,11.077,13.515,EPIC 210789323,0
1.0,0.0,0.5111,,,,,,,0.0,3092.0,0.214796,0.183836,,5.03845,33.1857,16.28,10.556,14.685,EPIC 210827030,0
1.0,0.0,0.950356,,,6.94,,,,0.0,6125.0,0.94,,0.0,3.0,1178.14,11.384,10.015,11.3223,EPIC 210954046,0
1.0,0.0,2.4616,,,,,,,0.0,9962.0,2.32365,2.55,,4.11227,139.024,6.809,6.607,6.79845,HIP 17704,0
1.0,0.0,7.0502,,,,,,,0.0,4947.69,0.705709,0.815,0.0513,4.65197,133.002,12.172,9.783,11.9077,EPIC 211093684,0
1.0,0.0,0.967865,,,,,,,0.0,5255.0,0.97198,0.9,,4.417,1263.42,15.787,13.93,15.7949,EPIC 211397774,0
1.0,0.0,25.23658,,,,,,,0.0,3777.0,0.701898,0.664837,,4.56823,223.67,15.082,11.277,14.4291,EPIC 211402878,0
1.0,0.0,10.337864,,,,,,,0.0,6281.0,1.96735,,-0.16,,468.472,12.702,11.295,12.5998,EPIC 211408138,0
1.0,0.0,13.919301,,,,,,,0.0,5330.07,1.2633,0.92,0.1992,4.19884,296.218,12.169,10.157,11.9842,EPIC 211409299,0
1.0,0.0,0.954863,,,,,,,0.0,5544.91,0.926751,0.98,0.041,4.49537,344.667,12.987,11.073,12.785,EPIC 211411891,0
1.0,0.0,0.554633,,,,,,,0.0,4729.0,0.951566,0.76,,4.362,880.732,15.938,13.375,15.6851,EPIC 211422822,0
1.0,0.0,2.153178,,,,,,,0.0,5523.0,0.997379,0.97,,4.42712,1039.39,15.226,13.5,15.0642,EPIC 211425822,0
1.0,0.0,0.565934,,,,,,,0.0,5309.0,1.55349,0.91,,4.01449,1311.54,14.638,12.819,14.7956,EPIC 211429934,0
1.0,0.0,15.091257,,,,,,,0.0,5369.0,1.55474,0.93,,4.02323,1356.66,15.181,13.071,14.8672,EPIC 211430148,0
1.0,0.0,3.102398,,,,,,,0.0,5483.32,1.85351,0.96,0.034,3.88435,1639.65,15.026,12.895,14.8095,EPIC 211431013,0
